hour,timestamp,load_pct,stack_temp_C,o2_pct,flare_flow_m3h,pressure_bar,feedstock_tph,ch4_fraction_pct
1,2024-03-04T00:00:00,62.83790686402901,337.6567926612407,3.4065411975901707,4676.461491283219,2.616259922935086,14.69506940555501,1.0755322751892678
2,2024-03-04T01:00:00,66.77537482440385,341.34404864612185,3.2866234168156496,4792.973274209092,2.5307332650632524,15.032177796980351,1.022094664943123
3,2024-03-04T02:00:00,63.214929636597915,340.02844403049016,3.2946080253531873,4549.990292955326,2.5397523981580283,14.414797646313653,1.0338492515778832
4,2024-03-04T03:00:00,73.36613925080253,341.27815743428823,3.1237788268703404,4844.2318457026295,2.588834079641271,15.872730596510213,1.0439331868183082
5,2024-03-04T04:00:00,73.00286967318084,338.98930302512684,3.165503994919253,4875.782138984345,2.5969679918030586,15.72730010120143,1.0791959814476808
6,2024-03-04T05:00:00,78.22250233010857,349.2104858671863,2.9827493163759353,5145.356611965172,2.600347981843826,16.58804381396996,1.164537800638394
7,2024-03-04T06:00:00,77.46139549733542,345.3752260362527,3.0804622930186945,5148.2490506153235,2.606650883298429,16.49184157005147,1.0913372433313584
8,2024-03-04T07:00:00,67.77012737732352,333.35463501905883,3.2101158181672482,4804.1827090139095,2.57843556129637,14.870405802379057,1.0474848910494454
9,2024-03-04T08:00:00,69.42047611514265,335.3132174573099,3.2728720644565255,4694.775330302663,2.612553720216998,15.308460074092311,1.156542580114345
10,2024-03-04T09:00:00,65.45539796074752,338.1995807693146,3.2201535593425836,4616.984346421244,2.5589192679741815,14.78407541289937,1.0285037088879536
11,2024-03-04T10:00:00,54.00282179627698,329.3876699609133,3.5732674498467687,4047.5361237325446,2.4924725752536414,14.644779698566035,1.1191650510124775
12,2024-03-04T11:00:00,56.567360926901024,326.8332466528415,3.412393601708352,4351.938491510717,2.5515825321358405,13.976710784791772,1.08810548368876
13,2024-03-04T12:00:00,50.81907319456107,328.57610584775983,3.6002812403045255,3940.383070525002,2.567072371997046,13.179337885051833,1.1648962009766897
